richness_herb,veg_type,COV_TREES,COV_SHRUBS,cov_evergreen,SOIL_DEPTH,PH,hli_data,mean_annual_temp,annual_prec,prec_warm,tri
39,mixed deciduous,40,30,0.1,4,5.29,0.9166247275799247,10.950000000000044,1166.6,184.7,16.975738525390625
34,mixed deciduous,65,40,0,13,5.4,0.8644971519012977,10.850000000000025,1058.3,169.5,12.035526275634766
50,beech,65,10,0.5,21,5.5,0.7320883967253039,9.550000000000011,1404.7,209.8,45.18958664
57,mixed deciduous,50,35,0,3,7.51,0.7618295133456231,9.050000000000011,1529.4,227.1,39.25779724121094
74,beech,65,10,0,8,7.96,0.49151412475792094,9.850000000000025,1514.5,239.2,71.534637451171875
50,mixed deciduous,75,15,3.485,10,7.64,0.4908714416332194,9.950000000000044,1270.8000000000002,216.8,30.947179794311523
21,fir and spruce,40,1,0,30,5.02,0.8409168441464259,5.150000000000034,1544,270.40000000000003,1.819413423538208
27,fir and spruce,60,0,0,25,4.37,0.928104037,5.150000000000034,1544,270.40000000000003,3.987738609313965
36,fir and spruce,40,2,0,18,4.87,0.8916669559691656,3.9500000000000455,1725.8000000000002,297.40000000000003,19.852766036987305
43,mixed deciduous,50,35,0,12,6.06,0.8792895355013371,7.650000000000034,2058.9,245.2,38.54528045654297
13,beech,75,5,0,22,5.01,0.7214777184197991,5.050000000000011,2347.7000000000003,291.40000000000003,30.19329833984375
28,beech,80,20,0,21,5.92,0.9551424822596976,6.4500000000000455,2293.3,285,20.898494720458984
66,mixed deciduous,45,20,3,7,8.43,0.6261943903889808,7.950000000000045,2110.5,265.3,16.232433319091797
49,beech,55,7,0,10,6.2,0.9598440545497884,7.850000000000023,2300.8,278.90000000000003,17.565954208374023
48,mixed deciduous,60,2,0,17,7.08,1.0226388974589289,9.050000000000011,1824.2,244.8,17.90680503845215
46,mixed deciduous,75,15,3.485,8,7.63,0.901446115,9.250000000000057,1292.6,203.8,42.74363708496094
31,mixed deciduous,50,20,3.485,6,8.07,0.886194798,9.950000000000044,1227.6,203.2,43.64708709716797
64,pine,25,3,0,10,6.74,0.6620316615210354,6.150000000000034,1398.9,245.7,21.506696701049805
37,pine,35,25,10,17,5.7,0.9986485083004488,6.550000000000011,1775.5,289.5,15.18558120727539
48,pine,30,10,3.485,8,6.65,0.6267458322790038,5.4500000000000455,1810,295.40000000000003,18.26337432861328
40,fir and spruce,40,15,0,18,5.42,1.0260043653571285,3.650000000000034,2213.9,394.3,20.85923767089844
23,fir and spruce,70,10,0,19,5.76,1.0277728401352535,4.850000000000023,2144.2000000000003,377,31.545907974243164
43,riparian,80,10,0,30,8.01,0.925295296,4.850000000000023,2081.4,362.6,36.047882080078125
25,beech,90,3,0,30,6.78,0.686755471,4.850000000000023,2081.4,362.6,37.50080871582031
44,mixed deciduous,70,1,0,19,6.28,1.0106240279826582,9.350000000000025,1557.3000000000002,253.5,28.462909698486328
9,beech,90,0,0,27,5.85,0.7265454555519957,9.350000000000025,1954.7,270.6,24.234657287597656
47,beech,70,12,0,20,6.34,0.9346049530796126,8.250000000000057,2298.8,340.90000000000003,16.511795043945313
49,mixed deciduous,65,75,0.5,20,7.11,1.0259047870293747,7.650000000000034,1963.7,287.5,31.380760192871097
15,fir and spruce,90,5,0.5,28,7.36,0.9263466355919204,6.550000000000011,2384.3,314.20000000000005,20.48894500732422
47,mixed deciduous,75,40,0.5,21,7.95,0.956164524,10.050000000000011,1063.4,177.5,16.549772262573242
23,mixed deciduous,45,2,0,22,5.43,0.9312815075758638,9.650000000000034,1016.1,175.70000000000002,18.64447021484375
14,beech,85,4,0,24,4.94,0.896782424,9.450000000000044,1097.3,177.8,23.37024688720703
16,mixed deciduous,60,0,0,17,4.83,0.7058642128046395,10.150000000000034,1033.5,169.20000000000002,12.96593952178955
46,mixed deciduous,75,20,5.91,26,6.75,0.9928745711425154,8.850000000000023,1534.4,226.1,27.201276779174805
39,beech,85,10,0.9975,19,6.61,0.6870831302365783,8.150000000000034,1411.5,211.6,35.80592727661133
49,beech,85,15,0.9975,19,7.13,0.5742133992131496,9.750000000000057,1313.9,222.1,36.54054260253906
39,beech,60,25,0.9975,9,7.5,0.8168836791487443,9.950000000000044,1270.8000000000002,216.8,27.592803955078125
63,pine,40,30,20.4,17,6.7,0.7104078750150227,5.150000000000034,1490.3000000000002,262.40000000000003,24.788129806518555
55,fir and spruce,75,10,0,17,6.82,0.777363206,6.4500000000000455,1841.7,303.1,71.29005432128906
32,mixed deciduous,40,50,0,12,6.41,1.023895597146317,7.650000000000034,2352.4,283.3,40.60843276977539
31,beech,55,8,0,23,7,0.5346964935407928,5.650000000000034,2310.3,287.1,34.31925582885742
33,beech,60,15,0,18,7.84,0.963999912,6.750000000000057,2279.6,287.3,20.73957633972168
39,mixed deciduous,85,15,0,17,8.1,0.9586144680607304,8.350000000000023,2099.9,263.8,27.39689064025879
18,beech,90,3,0,27,6.23,0.7424638541963293,8.250000000000057,2113.2000000000003,263.7,22.19304656982422
91,mixed deciduous,60,1,0,16,8.38,0.996849293,8.650000000000034,1744.2,236.3,10.283382415771484
38,mixed deciduous,80,5,0,16,8.61,1.008878620608896,10.750000000000057,1302.5,204.2,46.136661529541016
54,mixed deciduous,75,30,3.485,15,8.32,0.32741640292136315,8.250000000000057,1267.2,207.6,78.37982940673828
51,mixed deciduous,80,25,37.5,10,7.39,0.6198074121166597,8.550000000000011,1267.7,223.6,32.78608703613281
24,fir and spruce,85,7,0,20,6.17,0.8025681547190898,5.850000000000023,1800.2,293,14.15156364440918
49,pine,45,15,10,13,5.93,0.8447263478163534,6.250000000000057,1486.2,259.1,16.97783088684082
21,beech,85,3,0,30,5.8,0.5515022392877529,8.750000000000057,1918,269.7,26.81514549255371
45,mixed deciduous,50,40,3.485,5,7.59,0.7508419037488508,8.850000000000023,2143.9,317.70000000000005,12.147224426269531
42,mixed deciduous,60,20,0,13,6.67,0.9853149761031824,7.750000000000057,2110.4,283.7,29.326473236083984
26,beech,85,5,0,13,5.63,0.963783913,5.550000000000011,2588.8,333.6,23.931562423706055
39,beech,95,20,0,13,8.19,0.46741593020454286,6.4500000000000455,2247.1,303.40000000000003,38.21335983276367
35,mixed deciduous,95,10,0,15,5.88,0.5834412615071172,9.750000000000057,1588,234.6,25.259496688842773
41,beech,98,15,3,16,7.32,0.6088622565512755,9.250000000000057,1125.7,184.3,36.92679214477539
23,mixed deciduous,60,0,0,15,5.3,0.8471133296555121,9.850000000000025,1014.9,171,20.54240608215332
10,beech,35,2,0,26,5.3,0.5435686336476031,10.150000000000034,1056.2,172.70000000000002,28.63109779
41,mixed deciduous,75,10,0.5,13,6.21,0.863040633,10.850000000000025,1058.3,169.5,21.293603897094727
35,mixed deciduous,40,50,3.967575,18,5.78,0.9091237826967647,9.250000000000057,1368.9,205,26.429996490478516
32,pine,75,2,3.485,13,7.88,0.6134453257759485,8.150000000000034,1411.5,211.6,16.79880142211914
